Nombre,Domicilio,ID_DEPTO,Mail,Capacidad
Sociedad de Fomento Villa Echenagucia,Elizalde 1545,06035,s/d,100.0
Sociedad de Fomento Martin de Guemes,Emilio Berisso 1201,06035,s/d,150.0
Sociedad de Fomento Villa Bernasconi,Emilio Zola 3967,06035,s/d,0.0
Sociedad de Fomento y Cultura Juan Bautista Alberdi,Estanislao Zeballos 5652,06035,hotmail,140.0
Surdanza,Estanislao Zeballos 5824,06035,gmail,200.0
Sociedad Cosmopolita de Socorros Mutuos Unión de Wilde,Estanislao Zeballos 6256,06035,hotmail,200.0
Sociedad de Fomento Lucio Mansilla,Eva Peron 1350,06035,s/d,0.0
Sociedad de Fomento Honor y Fuerza,Florencio Varela 2198,06035,gmail,90.0
Centro Cultural Carlino II,Galicia 401,06035,gmail,60.0
Centro Cultural Alas del Sur,General Mansilla 798,06035,hotmail,70.0
Centro Cultural Lo de Alber,Giribone 655,06035,hotmail,
Sociedad de Fomento Villa Marconi,Gral. Acha 1726,06035,s/d,0.0
Azucena Villaflor,Güemes 1411,06035,gmail,0.0
Sociedad de Fomento Manuel Benito Gonnet,Heredia 6489,06035,s/d,0.0
Club de Circo Kamaj Pacha,Hipolito Yrigoyen 1201,06035,hotmail,100.0
Centro Cultural Carlino,Hipólito Yrigoyen 1299,06035,gmail,100.0
Polideportivo Gabino Alegre,Homero Manzi 174,06035,s/d,500.0
Centro Cultural Un Grito de Corazón,Independencia 15,06035,hotmail,150.0
Casa Rayuela,La Rioja,06035,gmail,10.0
Giros,Lacarra 1633,06035,s/d,0.0
Centro Cultural La Calle Larga,Laprida 298,06035,hotmail,100.0
Fundación Isla Maciel,Las Heras 249,06035,fundacionislamaciel,0.0
Sociedad de Fomento Villa Avellaneda,Manuel Galvez 4650 ,06035,s/d,0.0
Centro Cultural Nosotros Somos Ellos,Montes de Oca y V. López,06035,hotmail,
Juana Azurduy,"Montes y Campichuelo sobre la plaza, Estación tren Gerli",06035,gmail,70.0
Centro Cultural 1° De Mayo,Morse y Escalada,06035,,
Centro Cultural A Cielo Abierto Armando Labollita,Pavón 64,06035,gmail,
Centro Cultural Nueva Esperanza 2000 ,Pinzón entre Estévez y Levalle,06035,gmail,500.0
Sociedad de Fomento Gral. Pico,Posadas 1653,06035,s/d,250.0
Sala de exhibición de artes visuales Del Carmen Casa Club,Raquel Español 325,06035,salondelcarmen,
Centro Cultural Quinta Galli Este,Ricardo Gutierrez 2102,06035,,100.0
Centro Cultural La Sociedad / Sociedad de Fomento y Cultura Manuel Ocampo,Rivadavia 1952,06035,gmail,250.0
Cooperativa Cimarrón de Comunicación y Cultura,Rivero y Olidén,06035,gmail,
Sarandiarte Espacio Cultural,Salto 63,06035,gmail,300.0
Sembrando Soberanía ,San Marino y Paez Altura 1200 de Av. H. Yrigoyen,06035,gmail,
Centro Municipal de Arte de Avellaneda  CMA,San Martín 797,06035,gmail,500.0
Sociedad de Fomento Wilde Este,San Nicolas 6132,06035,gmail,0.0
Sociedad de Fomento Villa San Martín e Ideal,Sarmiento 2064,06035,s/d,150.0
Club Reconquista de Suipacha,Suipacha 1937,06035,s/d,0.0
Sociedad Recreativa Cultural Deportiva y Fomento Idea Felíz,Triunvirato 1900,06035,s/d,300.0
Sociedad de Fomento Villa Gral San Martin de Pobladora,Uruguay 961,06035,s/d,0.0
Centro Cultural Nueva Esperanza,Vicente López 1660,06035,yahoo,50.0
Centro Cultural Azucena Villaflor,General Güemes 1411,06035,gmail,
Centro Cultural Giros,José Martín de la Serna 710,06035,live,
Centro Cultural El Matute Cultural,Sarmiento 2102,06035,hotmail,80.0
Centro Cultural Juana Azurduy,Victoriano Montes 2020,06035,gmail,70.0
Centro Cultural El Bastión,Comodoro Rivadavia 2640,06035,,
Casa Cultural Mapuche ´´Ruka Kimun Mapuche´´,Alberti 198,06056,hotmail,
KÁNIKA,Belgrano 249,06056,gmail,
Maroma,Charlone 386,06056,,
Vitró,Dorrego 378,06056,,
Espacio por el Arte EPA,Israel 88,06056,gmail,0.0
Centro Cultural La Panadería,Lamadrid 544,06056,googlegroup,0.0
Espacio Cultural Motor Colectivo,Misiones 89,06056,hotmail,
Pez Dorado Espacio Cultural,O'Higgins 578,06056,gmail,
Espacio Hamaca,O'Higgins 584,06056,live,0.0
Centro cultural Evita,S/D,06056,,
Factor C Espacio de encuentro,Zeballos 275,06056,s/d,0.0
La Casa Del Fondo,Calle 12 N°505 ,06063,,
Zirkoa Espacio en movimiento,Calle 18 826,06063,gmail,
Centro Cultural Atilio Marinelli,Av. Otamendi 3,06084,s/d,0.0
Casa Cultural Julieta Lanteri ,Calle 15 A nº 4952,06091,gmail,
Centro Cultural Leon F. Rigolleau,Calle 15 n°5675,06091,s/d,0.0
Casa Zeta,Calle 8 y La Habana ,06098,,
Florencio Constantino,Belgrano 1260,06112,gmail,750.0
EL MOLINO CULTURAL,Av. Las Heras 634,06119,gmail,
Centro Cultural La Rosa,Sivori 916,06126,s/d,0.0
Centro Cultural Volver,s/d,06134,,
Centro Cultural 7 de Mayo,Rodriguez Peña 525 ,06147,,
Isidoro espacio de Arte,Av. Casey 1052,06203,gmail,
Escuela de Actividades Culturales Dora Pietranera de Donadio,Avellaneda 127,06210,s/d,0.0
Cuerpos en Movimiento Espacio de Arte Escénico,Pueyrredón 466,06224,,
"Restituyendo derechos, construyendo futuro",Ingeniero Quadri 35,06238,hotmail,30.0
Residencia Artística Dos Ombúes,Pilotto sección quintas,06238,gmail,
Centro Cultural Malvinas Argentinas,La Merced 121,06245,,
Centro Cultural Mil Flores,Sidotti 555,06245,gmail,
Sala Ensueños,Av. San Martín 2068,06252,,
