Provincia,Departamento,Jardines,Poblacion_Jardin,Primarias,Poblacion_Primaria,Secundarias,Poblacion_Secundaria
Buenos Aires,General Alvear,15.0,758,26.0,968,8.0,1081
Buenos Aires,General Arenales,12.0,1212,11.0,1331,11.0,1608
La Rioja,General Belgrano,17.0,621,20.0,677,18.0,835
Chaco,General Belgrano,5.0,1411,13.0,1466,5.0,1702
Buenos Aires,General Belgrano,11.0,1618,16.0,1957,11.0,2208
Chaco,General Donovan,13.0,1285,16.0,1538,11.0,1769
La Rioja,General Felipe Varela,16.0,829,18.0,1078,8.0,1172
Buenos Aires,General Guido,4.0,236,14.0,285,3.0,357
Chaco,General Güemes,100.0,6921,235.0,8259,91.0,8792
Salta,General Güemes,30.0,4858,27.0,5990,15.0,6453
Salta,General José de San Martín,107.0,19509,108.0,22243,52.0,24083
La Rioja,General Juan Facundo Quiroga,19.0,337,25.0,362,20.0,461
Buenos Aires,General Juan Madariaga,20.0,1548,23.0,2191,14.0,2821
Buenos Aires,General La Madrid,12.0,866,16.0,1083,9.0,1160
La Rioja,General Lamadrid,2.0,158,2.0,164,2.0,214
Buenos Aires,General Las Heras,15.0,1466,16.0,1773,7.0,2104
Buenos Aires,General Lavalle,7.0,419,9.0,549,4.0,580
Santa Fe,General López,96.0,14884,104.0,17783,70.0,20506
Misiones,General Manuel Belgrano,70.0,5458,87.0,5949,51.0,6138
Santa Fe,General Obligado,129.0,17202,155.0,19144,80.0,22348
La Rioja,General Ortiz de Ocampo,9.0,567,29.0,656,9.0,805
Corrientes,General Paz,29.0,1425,32.0,1615,17.0,1937
Buenos Aires,General Paz,15.0,1095,25.0,1495,7.0,1600
San Luis,General Pedernera,58.0,11922,69.0,14672,70.0,17891
Buenos Aires,General Pinto,9.0,1104,13.0,1131,8.0,1365
Buenos Aires,General Pueyrredón,178.0,41427,169.0,53294,205.0,67001
Río Negro,General Roca,158.0,29296,165.0,37152,115.0,41788
Córdoba,General Roca,29.0,2905,35.0,3263,19.0,3903
Buenos Aires,General Rodríguez,36.0,14137,33.0,18024,36.0,18644
Córdoba,General San Martín,80.0,12494,80.0,14299,48.0,16119
La Rioja,General San Martín,14.0,394,23.0,538,17.0,655
Buenos Aires,General San Martín,100.0,28038,96.0,38161,111.0,46012
Santiago del Estero,General Taboada,44.0,4772,52.0,5109,16.0,6327
Buenos Aires,General Viamonte,15.0,1801,19.0,2208,10.0,2369
Buenos Aires,General Villegas,30.0,2797,32.0,3412,18.0,4022
San Luis,Gobernador Dupuy,13.0,1283,14.0,1464,17.0,1837
Mendoza,Godoy Cruz,87.0,13392,67.0,16942,44.0,19597
Corrientes,Goya,80.0,9035,95.0,10905,34.0,12844
Tucumán,Graneros,30.0,1434,30.0,1629,27.0,1864
Salta,Guachipas,7.0,314,10.0,343,3.0,392
Entre Ríos,Gualeguay,47.0,4529,56.0,5466,27.0,6180
Entre Ríos,Gualeguaychú,106.0,9410,111.0,11769,56.0,13659
Buenos Aires,Guaminí,15.0,822,18.0,1028,9.0,1224
Misiones,Guaraní,93.0,8802,143.0,9732,62.0,10537
Santiago del Estero,Guasayán,18.0,900,23.0,929,16.0,1107
La Pampa,Guatraché,5.0,690,7.0,756,6.0,965
Mendoza,Guaymallén,107.0,25349,87.0,31776,54.0,35018
Santa Cruz,Güer Aike,37.0,10573,46.0,14016,39.0,16107
Buenos Aires,Hipólito Yrigoyen,6.0,789,8.0,919,6.0,1156
La Pampa,Hucal,5.0,486,5.0,590,4.0,720
Neuquén,Huiliches,18.0,1713,19.0,2147,7.0,2356
Jujuy,Humahuaca,33.0,1752,35.0,2442,23.0,2816
Buenos Aires,Hurlingham,47.0,11620,46.0,16075,53.0,19542
San Juan,Iglesia,11.0,819,14.0,945,11.0,1047
Misiones,Iguazú,78.0,10641,80.0,12219,34.0,13000
La Rioja,Independencia,8.0,209,10.0,241,9.0,307
Chaco,Independencia,16.0,2318,28.0,2577,9.0,3219
Santa Fe,Iriondo,39.0,5742,50.0,6722,27.0,7235
Salta,Iruya,23.0,676,26.0,777,7.0,938
Córdoba,Ischilín,37.0,3125,41.0,3562,12.0,4456
Entre Ríos,Islas del Ibicuy,22.0,1271,25.0,1534,12.0,1747
Corrientes,Itatí,12.0,1136,13.0,1276,8.0,1379
Buenos Aires,Ituzaingó,50.0,10707,45.0,15026,57.0,18670
Corrientes,Ituzaingó,29.0,3816,34.0,4200,19.0,4751
Santiago del Estero,Jiménez,27.0,1847,39.0,1990,33.0,2441
Buenos Aires,José C. Paz,55.0,29597,62.0,36232,65.0,40098
